Model,Mean Squared Error,Root Mean Squared Error,Mean Absolute Error,R-squared,Run DateTime,Comment
Linear Regression,4908476721.156617,70060.52184,50670.738240971914,0.6254240620553605,10/10/24 15:09,
Decision Tree,4883710744.615552,69883.55131656914,43960.21632751938,0.6273140045811139,10/10/24 15:09,
Random Forest,2410957779.7365026,49101.50486223923,31740.284857073642,0.8160148610265945,10/10/24 15:09,
Gradient Boosting,3123062886.973189,55884.37068602624,38254.89396423642,0.7616726580150873,10/10/24 15:09,
Support Vector Regressor,13669587305.377783,116917.01033373109,87041.97936949544,-0.043154277,10/10/24 15:10,
Linear Regression,4908476721.156617,70060.52184,50670.738240971914,0.6254240620553605,10/10/24 16:38,
Decision Tree,4823240462.882025,69449.55336704495,44170.755087209305,0.6319286159534125,10/10/24 16:38,
Random Forest,2405715656.514464,49048.09534,31694.841812015504,0.8164148982141507,10/10/24 16:38,
Gradient Boosting,3123125031.220155,55884.92669065743,38255.87852969368,0.7616679156599908,10/10/24 16:38,
Support Vector Regressor,13669587305.377783,116917.01033373109,87041.97936949544,-0.043154277,10/10/24 16:38,
Linear Regression,4908476721.156617,70060.52184,50670.738240971914,0.6254240620553605,10/10/24 16:39,
Decision Tree,4761428939.770106,69003.10818919758,44070.29336,0.6366455802094797,10/10/24 16:39,
Random Forest,2364971684.1736484,48630.97453448417,31399.95610949613,0.8195241544095341,10/10/24 16:39,
Gradient Boosting,3122889501.404623,55882.81937594616,38255.084135462894,0.7616858894238647,10/10/24 16:39,
Support Vector Regressor,13669587305.377783,116917.01033373109,87041.97936949544,-0.043154277,10/10/24 16:39,
Linear Regression,4908476721.156617,70060.52184,50670.738240971914,0.6254240620553605,10/11/24 15:58,Added Scaler and encoder
Decision Tree,4768174516.659641,69051.96967979727,43722.93386627907,0.6361308113852773,10/11/24 15:58,Added Scaler and encoder
Random Forest,2384880349.5789123,48835.23676177799,31590.568124999998,0.8180048832708404,10/11/24 15:58,Added Scaler and encoder
Gradient Boosting,3122240990.011365,55877.01665274699,38245.15270045682,0.7617353786599754,10/11/24 15:58,Added Scaler and encoder
Support Vector Regressor,13669587305.377783,116917.01033373109,87041.97936949544,-0.043154277,10/11/24 15:59,Added Scaler and encoder
Linear Regression,4908476721.156617,70060.52184,50670.738240971914,0.6254240620553605,10/11/24 19:23,Added Scaler and encoder
Decision Tree,4755894262.299176,68962.99197612569,43566.150920542634,0.6370679428125168,10/11/24 19:23,Added Scaler and encoder
Random Forest,2377202716.7181864,48756.565883152456,31489.692289244183,0.8185907792001428,10/11/24 19:23,Added Scaler and encoder
Gradient Boosting,3122378425.834182,55878.246445590805,38252.09927397521,0.7617248906501175,10/11/24 19:23,Added Scaler and encoder
Support Vector Regressor,13669587305.377783,116917.01033373109,87041.97936949544,-0.043154277,10/11/24 19:23,Added Scaler and encoder
Linear Regression,4907833381.165679,70055.93037827474,50678.25599181272,0.625473157,10/22/24 10:15,Kept only Linear Regression and Decision Tree models
Decision Tree,4715400270.243702,68668.77216205123,43566.65843023256,0.6401581224990017,10/22/24 10:15,Kept only Linear Regression and Decision Tree models
Linear Regression,,,50678.25599181272,0.625473157,10/22/24 10:46,Kept only Linear Regression and Decision Tree models
Decision Tree,,,43332.62378875969,0.6416781556527786,10/22/24 10:46,Kept only Linear Regression and Decision Tree models
Linear Regression,,,50678.25599181272,0.625473157,10/22/24 10:47,Kept only Linear Regression and Decision Tree models
Decision Tree,,,43799.87160852713,0.6312926596212558,10/22/24 10:47,Kept only Linear Regression and Decision Tree modelsLinear Regression,,,50678.25599181272,0.625473156651141,2024-10-22 11:22:18,Kept only Linear Regression and Decision Tree models
Decision Tree,,,43269.46753875969,0.6427400626227779,2024-10-22 11:22:18,Kept only Linear Regression and Decision Tree models
Random Forest,,,31668.740024224804,0.8175345259276066,2024-10-22 11:22:24,Kept only Linear Regression and Decision Tree models
Linear Regression,,,50678.25599181272,0.625473156651141,2024-10-22 13:20:48,Added Random Forest model
Decision Tree,,,43942.532218992244,0.633405477622502,2024-10-22 13:20:48,Added Random Forest model
Random Forest,,,31470.738049903102,0.8186336100934742,2024-10-22 13:20:54,Added Random Forest model
